Answer,Question,Unnamed--4,Unnamed--5
“No. Our success fee applies only to the funds raised in the round we’re actively involved in. If that same investor reinvests or increases their stake in later rounds—when Qubit isn’t part of the outreach—there’s no additional fee for that subsequent investment.”,"If an investor invests more money later (e.g., in a future round) without Qubit’s involvement, do we still owe a success fee?","
","
"
"At Qubit, we combine advanced AI-driven matchmaking technology with our seasoned team's 15+ years of fundraising experience to find your perfect investor fit rom our extensive network of over 20,000 VCs, Family Offices, Strategic Corporates, Private Equity Funds, and Angels across 90+ countries, including the USA, UK, Europe, Latin America, Southeast Asia, Middle East, India, and beyond. 

We carefully analyze your sector, stage, geography, and funding needs to identify relevant investors from our global network, ensuring highly targeted and effective outreach. Our fundraising experts support you from investor introductions, pitch deck refinement, negotiations, all the way until funds successfully reach your account.",How can you help us raise funds?,,
"We are sector and stage agnostic, we work with startups at all the stages.

Minimum which we have raised is $150k and Maximum we have raised is $25Mn. But the majority of our clients raise in the range of $1Mn-$5Mn.",What is the average ticket size which you raise/ What is your sweet spot?,,
"“Yes, in certain scenarios our fee structure scales. For amounts under $5M, the 4% rate is typical; for raises above $10M, it can drop to 3% or 2.5%. However, we finalize this in the engagement letter once we know your target range. If your round ends up being larger than initially expected, we adjust the success fee accordingly.”",Does the 4% success fee change if the raise is much bigger or smaller than planned?,,
"Our success rate is between 30 to 35%. We never claim that we are 100% successful. Nobody in this world can be 100% successful for startup fundraising.

If you compare it with the industry standard, the industry standard is in single digit. That's 7 to 8% and ours is almost three to four times the industry standard. The only reason why we are able to maintain a higher success rate is because we are using the hybrid model wherein we are using our twelve-year-old expertise in dealing with the investors, closing the deals, along with the new age technology which we have created of doing the matchmaking between the startup and the investor.",What is your success rate?,,
"It depends on the valuation of the company.

We have to first identify the current valuation of your company by preparing a detailed financial model and based on that valuation you’ll be able to understand how much equity you have to dilute against the funding which you will receive from the investor.",How much equity I have to dilute if I have to get any investor?,,
"No, it is not the cold reachout because we are not reaching out to any random investor.

We are having two sets of investors, one who is into our direct network who knows Qubit and another who is outside our direct network, but at the same time they're looking for the opportunity to invest in a company like your’s. We identify all the potential investors for you from our network and outside our network as well and reach out to those investors on your behalf.

The investors who are in our direct network, we directly share the deal with them but the investors who are outside our network, we also share the deal with them because they are looking to invest in these kind of companies and we are solving a very big problem at their end in identifying the right startups and we provide them with the curated dealflow.",Is it a cold reachout which you will be doing to pitch these investors?,,
"“We’re flexible about collaborating with your internal teams or any external advisors you’ve engaged. Often, if you have a CFO, they’ll share detailed financial data with us to refine the financial model. Our objective is to integrate seamlessly with whatever support system you have, as long as roles are clearly defined.”","Do you coordinate with a founder’s existing or future advisors (e.g., a CFO or another fundraising consultant)?",,
"No, we don’t.",Do you do Project Financing or Loans?,,
"No, 3-4 months is a tentative timeline. We’ll keep on working with you till you get the funding or we exhaust our entire pool of relevant investors for your company and have received their final decision.",Will you stop working with us if you are not able to raise funds within three to four months?,, 
"We’ll be identifying approx 200-300 potential investors across the globe for your company who will be a perfect match for your company and your company will be a perfect match for them.

If you want more investors, we can do that as well.",How many investors will you identify for my company?,,
Qubit Capital does not assist with any form of debt financing or loans.,What are the different ways of Debt financing you can offer us? / Do you offer Debt financing or loans,,
"“We never blast your pitch to thousands randomly. Our AI and manual vetting yield a short list of relevant investors (usually a couple hundred at most, often fewer). We then do a phased outreach, gauging interest carefully so you maintain a sense of scarcity and exclusivity with prospective investors.”",We worry about saturating the market with our pitch. How do you limit the number of investors approached so we don’t come across as desperate?,,
"Marquee Equity is a marketing platform for startups which can broadcast your deal to the entire database of investors they have. Whereas Qubit Capital is a tech driven investment banking firm where we leverage technology to identify the relevant investors for your company and then help you close the deal through our fundraising experience.

If you want to market your business in front of the random investors, then Marquee is the right platform for you.

If you want to raise funding from the right investors, then Qubit is the right platform for you.","We already know Marquee Equity who is your competitor, how are you better/different from them?",,
"We’ll be identifying approx 200-300 potential investors across the globe for your company who will be a perfect match for your company and your company will be a perfect match for them.

If you want more investors, we can do that as well.",How many investors will you identify for my company?,,
"We’ll be identifying approx 200-300 potential investors across the globe for your company who will be a perfect match for your company and your company will be a perfect match for them.

If you want more investors, we can do that as well.",How many investors will you identify for my company?,,
"We specialise in facilitating business acquisitions. Leveraging our extensive network of over 20,000 global investors, we can introduce you to the right parties interested in acquiring your company.",Can you help me in getting a buyer for my company?,,
"At Qubit, we combine advanced AI-driven matchmaking technology with our seasoned team's 15+ years of fundraising experience to find your perfect investor fit rom our extensive network of over 20,000 VCs, Family Offices, Strategic Corporates, Private Equity Funds, and Angels across 90+ countries, including the USA, UK, Europe, Latin America, Southeast Asia, Middle East, India, and beyond. 

We carefully analyze your sector, stage, geography, and funding needs to identify relevant investors from our global network, ensuring highly targeted and effective outreach. Our fundraising experts support you from investor introductions, pitch deck refinement, negotiations, all the way until funds successfully reach your account.",What does Qubit do,,
"We provide the legal assistance in reviewing and vetting your termsheet, SHA (Shareholder’s Agreement) & other legal documents.

We’ll not prepare these documents nor will we doing the compliance part i.e issuing equity/debentures etc. to the investors. That will be done by your lawyers or CPA.",What kind of Legal Support you will be providing to us in this fundraising journey?,,
"Once onboarded, here’s exactly how our end-to-end fundraising solution works: 

Deep Dive & Strategy - Our experienced team collaborates closely with you to understand your unique business model, vision, pains, challenges, and growth goals, creating a precise fundraising strategy. 

Investor Mapping & AI Matching - Leveraging cutting-edge AI technology, we identify and reach out to highly targeted investors matched by sector, geography, and funding stage. 

Collateral Refinement: We help refine pitch decks and financial models, making your story irresistible to investors. 

Investor Engagement & Meetings - Our team manages outreach and schedules meetings, streamlining the entire investor engagement process. 

Negotiation & Closing - We’re at your side for term sheet negotiations and legal documentation until funding hits your bank account. 

We handle everything, so you focus solely on growth.",What is your process,,
"10x Your Investor Network Globally: We connect you with a vast pool of over 20,000 global investors, including VCs, Family Offices, Corporate Funds, and Angel Investors. This significantly expands your reach and increases your chances of finding the perfect match.
Meet Relevant Investors: Our proprietary algorithm ensures you get to meet investors whose interests and investment thesis align with your vision and stage. Whether you're looking for seed funding or Series C, we'll connect you with the right people.
Integrated Fundraising Services: We provide end-to-end support, from crafting compelling pitch decks and financial statements to facilitating investor meetings. Our team of experienced fundraising consultants guides you through each step, ensuring a smooth and efficient process.
Save Time: By leveraging our extensive network and streamlined processes, you can focus on running and growing your business while we handle the intricacies of fundraising. We aim to reduce the time and effort you spend on fundraising, making it as effortless as possible.",Can you share a demo with me,,
"Initially we’ll be providing an intro pitch with the investors about your company. Once they show their interest, then we share the Pitch Deck & other information with them. NDA will not be signed till this stage as these investors get a lot of Pitch Decks on a daily basis.

They may sign the NDA when the conversation with them is going on at the advanced stage and they ask us to share some confidential information.",Will you sign the NDA with the investors before sharing information with them?,,
"We can reach out to them as Qubit if you want or we can reach out using your identity, it will be your decision only.

From our past experience, what we have seen is that investors respond faster when it comes directly from the founders, especially when the investment banker is not in their direct network and they always love to hear the story from the founders directly.

But ultimately it will be your decision, if you want us to reach out to these investors as Qubit we can do that and if you want us to reach out to them using your identity, then we can do that as well.",Will you reach out to these investors as Qubit or as a startup?,,
"""Once onboarded, here’s exactly how our end-to-end fundraising solution works: 

Deep Dive & Strategy - Our experienced team collaborates closely with you to understand your unique business model, vision, pains, challenges, and growth goals, creating a precise fundraising strategy. 

Investor Mapping & AI Matching - Leveraging cutting-edge AI technology, we identify and reach out to highly targeted investors matched by sector, geography, and funding stage. 

Collateral Refinement: We help refine pitch decks and financial models, making your story irresistible to investors. 

Investor Engagement & Meetings - Our team manages outreach and schedules meetings, streamlining the entire investor engagement process. 

Negotiation & Closing - We’re at your side for term sheet negotiations and legal documentation until funding hits your bank account. 

We handle everything, so you focus solely on growth.""",What does your process look like,,
"We have our own AI algorithm which understands the requirements of the startups, the thesis of the investors, does the matchmaking between both of them and provides us the list of all the potential investors relevant for the startup.",What is the role of AI in this whole process?,,
"“We’re flexible about collaborating with your internal teams or any external advisors you’ve engaged. Often, if you have a CFO, they’ll share detailed financial data with us to refine the financial model. Our objective is to integrate seamlessly with whatever support system you have, as long as roles are clearly defined.”","Do you coordinate with a founder’s existing or future advisors (e.g., a CFO or another fundraising consultant)?",,
"It depends on the valuation of the company.

We have to first identify the current valuation of your company by preparing a detailed financial model and based on that valuation you’ll be able to understand how much equity you have to dilute against the funding which you will receive from the investor.",How much equity I have to dilute if I have to get any investor?,,
"Completely understand the question around costs—fundraising is crucial, and every dollar counts. 

Our flexible fundraising packages are customized based on your specific fundraising challenges, starting at just $1,000 for tailored investor mapping, targeted outreach, and personalized pitch preparation. To fully align our success with yours, for end to end fundraising we work primarily on a success-based model—taking just a modest 3–5% success fee on the funds successfully raised, ensuring our interests remain completely aligned. 

Importantly, your initial platform fee is fully credited against this success fee, meaning no net upfront costs once fundraising is successful. 

Let’s discuss which flexible option would best fit your situation. Are you available for a short call this week to go over your needs in detail?",What is your pricing structure?,,
"Qubit Capital is sector agnostic in nature and serves a diverse range of industries, including fintech, healthcare, telecom, insurance, blockchain, retail, e-commerce, biotech, cleantech, software, travel, and edtech. Our broad industry expertise enables us to effectively connect startups and investors across various sectors.",What industries does Qubit Capital specialize in?,,
"No, we do not guarantee funding and no one can guarantee funding. What we guarantee is that we can identify the relevant investors for you as per your requirement, we can reach out to them on your behalf, we can generate their interest, connect them with you and also help you in closing the deal with those investors. That is what we guarantee and no one else is even guaranteeing this thing that they can get you connected with the right investor and get you a positive conversation with them. If we are not able to do that, we provide a 100% refund guarantee.

Funding is something, which is not in our hand, it is in the hands of the investors mainly. Therefore, we cannot guarantee that.",Do you guarantee funding?,,
